bugNode,fixNode,bugNode_fixNode,context,context_1
BaseVariableNode,MethodInvocationStmNode,BaseVariableNode_MethodInvocationStmNode,BaseVariableNode_MethodInvocationStmNode&false&ARGUMENT,BaseVariableNode_MethodInvocationStmNode&false
BaseVariableNode,MethodInvocationStmNode,BaseVariableNode_MethodInvocationStmNode,BaseVariableNode_MethodInvocationStmNode&false&ARGUMENT,BaseVariableNode_MethodInvocationStmNode&false
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false&NORMAL,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false
ClassInstanceCreationNode,MethodInvocationStmNode,ClassInstanceCreationNode_MethodInvocationStmNode,ClassInstanceCreationNode_MethodInvocationStmNode&false&RIGHT_VAR_DECLARATION,ClassInstanceCreationNode_MethodInvocationStmNode&false
InfixExpressionStmNode,BaseVariableNode,InfixExpressionStmNode_BaseVariableNode,InfixExpressionStmNode_BaseVariableNode&false&RETURN,InfixExpressionStmNode_BaseVariableNode&false
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false&NORMAL,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false
MethodInvocationStmNode,InfixExpressionStmNode,MethodInvocationStmNode_InfixExpressionStmNode,MethodInvocationStmNode_InfixExpressionStmNode&INFIX,MethodInvocationStmNode_InfixExpressionStmNode
MethodInvocationStmNode,InfixExpressionStmNode,MethodInvocationStmNode_InfixExpressionStmNode,MethodInvocationStmNode_InfixExpressionStmNode&INFIX,MethodInvocationStmNode_InfixExpressionStmNode
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false&NORMAL,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false
BooleanNode,BooleanNode,BooleanNode_BooleanNode,BooleanNode_BooleanNode&ARGUMENT,BooleanNode_BooleanNode
ClassInstanceCreationNode,ClassInstanceCreationNode,ClassInstanceCreationNode_ClassInstanceCreationNode,ClassInstanceCreationNode_ClassInstanceCreationNode&SameMethod&ChangeParam&ADD1&false&RIGHT_ASSIGNMENT,ClassInstanceCreationNode_ClassInstanceCreationNode&SameMethod&ChangeParam&ADD1&false
BaseVariableNode,BaseVariableNode,BaseVariableNode_BaseVariableNode,BaseVariableNode_BaseVariableNode&true&ARGUMENT,BaseVariableNode_BaseVariableNode&true
BaseVariableNode,BaseVariableNode,BaseVariableNode_BaseVariableNode,BaseVariableNode_BaseVariableNode&true&ARGUMENT,BaseVariableNode_BaseVariableNode&true
BaseVariableNode,BaseVariableNode,BaseVariableNode_BaseVariableNode,BaseVariableNode_BaseVariableNode&true&ARGUMENT,BaseVariableNode_BaseVariableNode&true
